"Abrangência";"Município";"Qt";"%";
"";"ITAJU DO COLÔNIA";"4.541";"0,003"
"";"ITAJUÍPE";"16.628";"0,012"
"";"ITAMARAJU";"42.317";"0,030"
"";"ITAMARI";"6.715";"0,005"
"";"ITAMBÉ";"18.068";"0,013"
"";"ITANAGRA";"4.784";"0,003"
"";"ITANHÉM";"15.711";"0,011"
"";"ITAPARICA";"16.384";"0,011"
"";"ITAPÉ";"8.997";"0,006"
"";"ITAPEBI";"8.172";"0,006"
"";"ITAPETINGA";"44.561";"0,031"
"";"ITAPICURU";"23.137";"0,016"
"";"ITAPITANGA";"6.824";"0,005"
"";"ITAQUARA";"6.250";"0,004"
"";"ITARANTIM";"13.122";"0,009"
"";"ITATIM";"11.134";"0,008"
"";"ITIRUÇU";"9.589";"0,007"
"";"ITIÚBA";"28.259";"0,020"
"";"ITORORÓ";"16.105";"0,011"
"";"ITUAÇU";"14.042";"0,010"
"";"ITUBERÁ";"19.398";"0,014"
"";"IUIU";"8.261";"0,006"
"";"JABORANDI";"6.543";"0,005"
"";"JACARACI";"11.447";"0,008"
"";"JACOBINA";"55.272";"0,039"
"";"JAGUAQUARA";"35.410";"0,025"
"";"JAGUARARI";"21.412";"0,015"
"";"JAGUARIPE";"12.022";"0,008"
"";"JANDAÍRA";"7.840";"0,005"
"";"JEQUIÉ";"106.682";"0,075"
"";"JEREMOABO";"25.469";"0,018"
"";"JIQUIRIÇÁ";"10.608";"0,007"
"";"JITAÚNA";"14.123";"0,010"
"";"JOÃO DOURADO";"17.121";"0,012"
"";"JUAZEIRO";"139.613";"0,098"
"";"JUCURUÇU";"7.932";"0,006"
"";"JUSSARA";"11.519";"0,008"
"";"JUSSARI";"4.966";"0,003"
"";"JUSSIAPE";"6.463";"0,005"
"";"LAFAIETE COUTINHO";"3.493";"0,002"
"";"LAGOA REAL";"9.882";"0,007"
"";"LAJE";"18.357";"0,013"
"";"LAJEDÃO";"4.282";"0,003"
"";"LAJEDINHO";"3.082";"0,002"
"";"LAJEDO DO TABOCAL";"5.857";"0,004"
"";"LAMARÃO";"7.264";"0,005"
"";"LAPÃO";"20.471";"0,014"
"";"LAURO DE FREITAS";"112.605";"0,079"
"";"LENÇÓIS";"7.098";"0,005"
"";"LICÍNIO DE ALMEIDA";"9.014";"0,006"
"";"LIVRAMENTO DE NOSSA SENHORA";"32.421";"0,023"
"";"LUÍS EDUARDO MAGALHÃES";"39.410";"0,028"
"";"MACAJUBA";"9.720";"0,007"
"";"MACARANI";"13.332";"0,009"
"";"MACAÚBAS";"33.146";"0,023"
"";"MACURURÉ";"6.565";"0,005"
"";"MADRE DE DEUS";"13.804";"0,010"
"";"MAETINGA";"6.846";"0,005"
"";"MAIQUINIQUE";"6.899";"0,005"
"";"MAIRI";"14.219";"0,010"
"";"MALHADA";"12.454";"0,009"
"";"MALHADA DE PEDRAS";"6.906";"0,005"
"";"MANOEL VITORINO";"10.689";"0,007"
"";"MANSIDÃO";"9.232";"0,006"
"";"MARACÁS";"20.243";"0,014"
"";"MARAGOGIPE";"32.068";"0,022"
"";"MARAÚ";"12.236";"0,009"
"";"MARCIONÍLIO SOUZA";"7.617";"0,005"
"";"MASCOTE";"8.995";"0,006"
"";"MATA DE SÃO JOÃO";"33.918";"0,024"
"";"MATINA";"8.719";"0,006"
"";"MEDEIROS NETO";"17.621";"0,012"
"";"MIGUEL CALMON";"21.774";"0,015"
"";"MILAGRES";"8.784";"0,006"
"";"MIRANGABA";"11.983";"0,008"
"";"MIRANTE";"7.355";"0,005"
"";"MONTE SANTO";"42.081";"0,029"
"";"MORPARÁ";"6.955";"0,005"
"";"MORRO DO CHAPÉU";"22.936";"0,016"
"";"MORTUGABA";"9.304";"0,007"
"";"MUCUGÊ";"8.312";"0,006"
"";"MUCURI";"26.536";"0,019"
"";"MULUNGU DO MORRO";"9.191";"0,006"
"";"MUNDO NOVO";"15.312";"0,011"
"";"MUNIZ FERREIRA";"7.020";"0,005"
"";"MUQUÉM DO SÃO FRANCISCO";"8.478";"0,006"
"";"MURITIBA";"18.011";"0,013"
"";"MUTUÍPE";"17.424";"0,012"
"";"NAZARÉ";"21.240";"0,015"
"";"NILO PEÇANHA";"8.064";"0,006"
"";"NORDESTINA";"9.909";"0,007"
"";"NOVA CANAÃ";"12.460";"0,009"
"";"NOVA FÁTIMA";"6.919";"0,005"
"";"NOVA IBIÁ";"5.266";"0,004"
"";"NOVA ITARANA";"5.448";"0,004"
"";"NOVA REDENÇÃO";"5.889";"0,004"
"";"NOVA SOURE";"18.675";"0,013"
"";"NOVA VIÇOSA";"28.109";"0,020"
